Category,Question,A,B,C,D,CorrectAnswer
Basic IT,"What does CPU stand for?","Central Processing Unit","Control Processing Unit","Central Program Unit","Central Power Unit","A"
Linux,"SSH?",,,,,"22"
Basic IT,"Which device is used to connect a computer to a network?","Router","Switch","Network Interface Card","Modem","C"
Basic IT,"What is the main function of RAM?","Store data permanently","Execute programs","Temporarily store data for quick access","Provide backup","C"
Basic IT,"Which type of memory is non-volatile?","RAM","Cache","ROM","Register","C"
Basic IT,"What does IP address identify?","A user","A computer on a network","A program","A website name","B"
Basic IT,"What is the basic unit of digital data?","Bit","Byte","Megabyte","Kilobyte","A"
Basic IT,"What is the function of an operating system?","Manage hardware and software resources","Provide antivirus protection","Control internet speed","Run BIOS settings","A"
Linux,"Which command is used to list files in Linux?","ls","list","show","dir","A"
Linux,"What command is used to change directory?","move","cd","chdir","dir","B"
Linux,"Which file stores user account information?","/etc/passwd","/etc/users","/etc/accounts","/home/passwd","A"
Linux,"How to check current directory path?","pwd","where","dir","ls -path","A"
Linux,"SSH?",,,,,"22"
